Date,Open,High,Low,Close,Volume,Ticker
2024-07-15,5638.16,5666.94,5614.75,5631.22,3620470000,^GSPC
2024-07-16,5644.09,5669.67,5639.02,5667.20,4041760000,^GSPC
2024-07-17,5610.07,5622.49,5584.81,5588.27,4246450000,^GSPC
2024-07-18,5608.56,5614.05,5522.81,5544.59,4007510000,^GSPC
2024-07-19,5543.37,5557.50,5497.04,5505.00,3760570000,^GSPC
2024-07-22,5544.54,5570.36,5529.04,5564.41,3375180000,^GSPC
2024-07-23,5565.30,5585.34,5550.90,5555.74,3500210000,^GSPC
2024-07-24,5505.84,5508.04,5419.98,5427.13,3945550000,^GSPC
2024-07-25,5428.70,5491.59,5390.95,5399.22,4592120000,^GSPC
2024-07-26,5433.67,5488.32,5430.70,5459.10,3638770000,^GSPC
2024-07-29,5476.55,5487.74,5444.44,5463.54,3379970000,^GSPC
2024-07-30,5478.73,5489.46,5401.70,5436.44,3777740000,^GSPC
2024-07-31,5505.59,5551.51,5493.75,5522.30,4546910000,^GSPC
2024-08-01,5537.84,5566.16,5410.42,5446.68,4703620000,^GSPC
2024-08-02,5376.63,5383.89,5302.03,5346.56,5156450000,^GSPC
2024-08-05,5151.14,5250.89,5119.26,5186.33,5333250000,^GSPC
2024-08-06,5206.42,5312.34,5193.56,5240.03,4690190000,^GSPC
2024-08-07,5293.13,5330.64,5195.54,5199.50,4558260000,^GSPC
2024-08-08,5252.57,5328.03,5233.85,5319.31,4016830000,^GSPC
2024-08-09,5314.66,5358.67,5300.84,5344.16,3516400000,^GSPC
2024-08-12,5351.88,5371.20,5324.37,5344.39,3360160000,^GSPC
2024-08-13,5376.98,5436.50,5376.98,5434.43,3648980000,^GSPC
2024-08-14,5442.36,5463.22,5415.91,5455.21,3380050000,^GSPC
2024-08-15,5501.13,5546.23,5501.13,5543.22,3723310000,^GSPC
2024-08-16,5530.50,5561.98,5525.17,5554.25,3357690000,^GSPC
2024-08-19,5557.23,5608.30,5550.74,5608.25,3222050000,^GSPC
2024-08-20,5602.88,5620.51,5585.50,5597.12,2994420000,^GSPC
